Reklamos skleidėjo rekvizitai:,,,Leidimo Nr.,Leidimas galioja,,Reklaminio įrenginio,,Reklamos tipas ir tekstas,Reklaminio įrenginio projekto reg. Nr.,Reklamos plotas kv. m,Rekl. įrenginio plokštumų skaičius
juridinio asmens (j. a.) pavadinimas (fizinio asmens vardas ir pavardė),j. a. kodas,j. a. buveinė,,nuo,iki,"įrengimo adresas, vieta ",miesto dalis Kaune,,,,
UAB „Gintarinė vaistinė“,125877727,"Erdvės g. 51, Ramučiai, Kauno r.",29-24-1588,8/2/2018,8/1/2021,Varnių g. 38A,Vilijampolė,Iškaba: „Gintarinė vaistinė“,70-13-855,8.56,
UAB „Gintarinė vaistinė“,125877727,"Erdvės g. 51, Ramučiai, Kauno r.",29-24-1589,8/2/2018,8/1/2023,P. Lukšio g. 3,Eiguliai,Iškaba: „Gintarinė vaistinė“,70-13-857,9.23,
UAB  ALG knygynai,125940686,"Ulonų g. 2, Vilnius",29-24-687,2/25/2014,2/24/2019,E. Ožeškienės g. 10,Naujamiestis,Iškaba: „Pegasas  Knygynas“,70-13-544,"1,33",
UAB  ALG knygynai,125940686,"Ulonų g. 2, Vilnius",29-24-688,2/25/2014,2/24/2019,Laisvės al. 75,Naujamiestis,Iškaba: „Pegasas  Knygynas“,70-13-543,2.91,
UAB ALG knygynai,125940686,"Ulonų g. 2, Vilnius",29-24-1736,6/11/2014,6/10/2019,Laisvės alėja 29,Naujamiestis,Iškaba: „Pegasas  knygynas“,70-13-100,"2,9",
UAB  „ALG Knygynai“,125940686,"Ulonų g. 2, Vilnius",29-24-1863,9/1/2016,1/6/2021,K. Baršausko g. 66,Gričiupis,Iškaba: „Pegasas Knygynas“,70+13-909,4.84,
UAB  „ALG Knygynai“,125940686,"Ulonų g. 2, Vilnius",29-24-2645,12/28/2016,11/8/2019,Laisvės al. 81,Naujamiestis,Iškaba: „Centrinis knygynas  Knygos  Knygos“,70-13-2746,12,
UAB „VSGA“,125968073,"Antakalnio g. 37, Vilnius",29-24-1355,6/26/2015,6/10/2020,Karaliaus Mindaugo pr. 49,Naujamiestis,Iškaba: „Casino Admiral  Lošimo namai  Darbo laikas“,70-13-689,19.89,
UAB „Vernisažas“,125976020,"Musninkų g. 18-12, Vilnius",29-24-844,4/20/2015,3/30/2020,Savanorių pr. 288,Dainava,Iškaba: „Lentvario kilimai“,70-13-391,8.4,
UAB „Bernesė“,125989053,"Papiškių k., Molėtų r.",29-24-1431,7/8/2015,6/17/2020,Vilniaus g. 44,Senamiestis,Iškaba: „roll“,70-13-737,0.46,
UAB „KPK“,126043860,"Veiverių g. 134, Kaunas",29-24-543,4/18/2017,4/10/2019,Veiverių g. 134,Kazliškiai,Iškaba: „KPK  Baldų gamyba  Tel. 8 687 330 22“,70-13-1231,2.16,
UAB „Mikrovisatos valda“ ,126093888,"Savanorių pr. 125, Kaunas",29-24-1193,6/1/2015,5/20/2020,Savanorių pr. 109,Žaliakalnis,Iškaba: „Mikrovisata  Verslo centras“,70-13-582,2.4,
UAB „Mikrovisatos valda“ ,126093888,"Savanorių pr. 125, Kaunas",29-24-1194,6/1/2015,5/20/2020,Savanorių pr. 109,Žaliakalnis,Komercinė nuoroda: „Mikrovisata  Verslo centras“,70-13-583,9.6,
UAB „Mikrovisatos valda“ ,126093888,"Viršuliškių skg. 34-1, Vilnius",29-24-2403,11/22/2017,11/21/2018,Savanorių pr. 321C,Žaliakalnis,Iškaba: „CUBE “,70-13-1555,27.132,
UAB „Mikrovisatos valda“ ,126093888,"Viršuliškių skg. 34-1, 05132, Vilnius",29-24-816,4/27/2018,4/22/2023,Savanorių pr. 321C,Žaliakalnis,Komercinė nuoroda: „CUBE  Verslo centras “,70-13-380,15,
UAB „Ergolain projektai“,126125058,"Antakalnio g. 134-7, Vilnius",29-24-2617,12/22/2017,6/30/2019,Savanorių pr. 301,Kalniečiai,Iškaba: „Ergo Lain biurų ir viešbučių baldai“,70-13-1678,6.77,
UAB „Inservis“,126180446,"A. Juozapavičiaus g. 6, Vilnius",29-24-2360,12/7/2015,11/30/2020,Laisvės al. 102,Naujamiestis,Iškaba: „Inservis  Pastatų priežiūra  www.inservis.lt  Inservis  Pastatų priežiūra  “,70-13-1345,0.67,
UAB „Orakulas“,126181929,"Kauno g. 3A, Vilnius",29-24-3170,12/11/2014,11/19/2019,Baltų pr. 55,Smėliai,Iškaba: „Orakulas lažybų punktas Logotipas (2 vnt.)“,70-13-2846,4.09,
UAB „Orakulas“,126181929,"Kauno g. 3A, Vilnius",29-24-3171,12/11/2014,11/12/2019,Pramonės pr. 29,Gričiupis,Iškaba: „Orakulas lažybų punktas Logotipas“,70-13-2832,6,
UAB „Orakulas“,126181929,"Kauno g. 3A, LT-03212, Vilnius",29-24-1574,7/8/2016,6/26/2021,Varnių g. 48C,Vilijampolė,Iškaba: „Orakulas lažybų punktas Logotipas“,70-13-817,4.23,
UAB Linos artelė,126183360,"M. Sleževičiaus g. 7, Vilnius",29-24-945,3/24/2014,2/10/2019,Veiverių g. 150B,Kazliškiai,Iškaba: „Linos artelė  Siuvykla“,70-13-589,2.5,
UAB Linos artelė,126183360,"M. Sleževičiaus g. 7, Vilnius",29-24-946,3/24/2014,2/10/2019,Pramonės pr. 29,Dainava,Iškaba: „Linos artelė  Siuvykla“,70-13-590,2.5,
UAB Linos artelė,126183360,"Archyvų g. 50-18, Kaunas",29-24-1415,7/8/2017,4/8/2019,Savanorių g. 255,Kalniečiai,Iškaba: „Linos Artelė siuvykla“,70-13-1200,3.6,
"AUGA group, AB",126264360,"Konstitucijos pr. 21C, Vilnius",29-24-89,1/18/2018,12/21/2022,Taikos pr. 131B,Naujasodis,Iškaba: „AUGA group“,70-13-1745,1.02,
UAB „Neoturas“,126316280,"Savanorių pr. 110, Kaunas",29-24-1170,9/17/2013,9/2/2018,Savanorių pr. 110,Žaliakalnis,Iškaba: „Neoturas  Kelionių organizatorius“,70-13-988,1,
Uždaroji akcinė draudimo brokerių bendrovė „RDD“,126360273,"K. Donelaičio g. 63, Kaunas",29-24-508,2/12/2014,2/11/2019,K. Donelaičio g. 63,Naujamiestis,Iškaba: „RDD Draudimo brokerių bendrovė“,70-13-194,"0,48",
UAB „Finų medis“,126365772,"Pramonės g. 97, Vilnius",29-24-1213,6/8/2018,5/31/2023,Savanorių pr. 175,Žaliakalnis,Iškaba: „Finų medis“,70-13-583,1.08,
UAB „Amarivus“,126406525,"Galvės g. 2, Vilnius",29-24-2821,10/23/2014,9/29/2019,Savanorių pr. 255,Kalniečiai,Iškaba: „Viva batai“,70-13-2562,"3,6",
UAB Kauno viešbutis,132003913,"Laisvės al. 79, 44297, Kaunas",29-24-390,2/19/2017,2/16/2019,Laisvės al. 79,Naujamiestis,Iškaba: „Kaunas  Hotel  Viešbutis Hotel  Kaunas  Samanės restoranas“,70-13-717,15.31,
Uždaroji akcinė bendrovė „Liuks“,132010498,"V. Putvinskio g. 44, Kaunas",29-24-314,1/28/2014,1/26/2019,Laisvės al. 101,Senamiestis,Iškaba: „Restoranas „Europa“   Santakos viešbutis“,70-13-237,3.53,
Uždaroji akcinė bendrovė „Liuks“,132010498,"V. Putvinskio g. 44, Kaunas",29-24-315,1/28/2014,1/26/2019,J. Gruodžio g. 21,Senamiestis,Iškaba: „Santakos viešbutis  HOTEL“,70-13-236,3.3,
Uždaroji akcinė bendrovė „Kauno šilas“,132039891,"Energetikų g. 32, Kaunas",29-24-1279,5/26/2017,5/5/2019,Energetikų g. 32 ir Energetikų g. 12,Petrašiūnai,"Iškaba: „Šiloporas  Statybinių medžiagų parduotuvė, sandėlis (3 vnt.)  Logotipai  (5 vnt.)  Uždaroji akcinė bendrovė Kauno šilas  “",70-13-1413,25.9,
Uždaroji akcinė bendrovė „Kauno šilas“,132039891,"Energetikų g. 25B, 52485, Kaunas",29-24-1127,6/6/2018,6/5/2019,Vynvyčių skg. 1,Amaliai,Iškaba: „Šiloporas  Statybinių medžiagų parduotuvė  Kauno šilas  Caparol  Tyvek  knauf  Makroflex  Kreistel  Styrodur  Rockwool  Ejot“,70-13-861,"39,03",
UAB „Gabija“,132042688,"Savanorių pr. 137, Kaunas",29-24-1490,10/24/2013,10/23/2018,Savanorių pr. 137,Žaliakalnis,Iškaba: „Gabija  Grožio studija  Kosmetologijos parduotuvė“,70-13-1348,4.08,
I. Nainienės įmonė,132073438,"Riomerio g. 11-16, Kaunas",29-24-34,1/10/2017,7/29/2019,Šv. Gertrūdos g. 18A,Senamiestis,Iškaba: „Siuvimo ateljė  Visos siuvimo paslaugos  “,70-13-2161,2.34,
AB „MV GROUP Production“,132082782,"J. Jasinskio g. 16F, 03163, Vilnius",29-24-2524,12/12/2017,1/2/2019,K. Būgos g. 7,Naujamiestis,Iškaba: „Stumbras “,70-13-2362,29.97,
AB „MV GROUP Production“,132082782,"J. Jasinskio g. 16F, 03163, Vilnius",29-24-2525,12/12/2017,1/2/2019,K. Būgos g. 7,Naujamiestis,Iškaba: „Stumbras (logotipas)  1906“,70-13-2362,6.29,
AB „MV GROUP Production“,132082782,"J. Jasinskio g. 16F, 03163, Vilnius",29-24-2526,12/12/2017,1/2/2019,K. Būgos g. 7,Naujamiestis,Komercinė nuoroda: „Stumbras 1906“,70-13-2362,9.98,
Uždaroji akcinė bendrovė „Granitas“ ,132084071,"Elektrėnų g. 16, 51205, Kaunas",29-24-2368,11/16/2017,11/16/2018,Elektrėnų g. 16,Amaliai,Komercinė nuoroda: „Granitas Logotipas  “,70-13-850,5.85,
Uždaroji akcinė bendrovė „Granitas“ ,132084071,"Elektrėnų g. 16, Kaunas",29-24-2369,11/16/2017,11/16/2018,Elektrėnų g. 16,Amaliai,"Komercinė nuoroda: „Granitas 1 įvaža Betonas Granitmilčiai  2 įvaža Administracija  3 įvaža  Granitinė, dolomitinė skalda Žvirgždas  Smėlis“",70-13-851,9.56,
E. Čepausko įmonė „Ramunė“ ,132088479,"Pramonės pr. 85-24, Kaunas",29-24-1289,6/14/2018,5/7/2019,Taikos pr. 43,Dainava,Iškaba: „BUITEX  Buitinė technika (5 vnt.)  Bėganti eilutė“,70-13-1449,"18,18",
V. Rimkaus autoserviso įmonė „Mobilis“ ,132089613,"Taikos pr. 116C, Kaunas",29-24-552,3/21/2018,3/20/2019,Taikos pr. 116C,Naujasodis,"Iškaba: „IVECO  IVECO BUS (vėliavos, 3 vnt.)“",70-13-1309,20.25,
V. Rimkaus autoserviso įmonė „Mobilis“ ,132089613,"Taikos pr. 116C, Kaunas",29-24-553,3/21/2018,3/20/2019,Taikos pr. 116C,Naujasodis,Iškaba: „IVECO“,70-13-1307,5.23,
V. Rimkaus autoserviso įmonė „Mobilis“ ,132089613,"Taikos pr. 116C, Kaunas",29-24-554,6/30/2018,7/28/2018,Taikos pr. 116C,Naujasodis,Komercinė nuoroda: „RENAULT  “,70-13-766,7.26,
V. Rimkaus autoserviso įmonė „Mobilis“ ,132089613,"Taikos pr. 116C, Kaunas",29-24-555,6/30/2018,7/28/2018,Taikos pr. 116C,Naujasodis,Iškaba: „RENAULT  Krovininiai automobiliai “,70-13-765,3.54,
V. Rimkaus autoserviso įmonė „Mobilis“ ,132089613,"Taikos pr. 116C, Kaunas",29-24-556,6/30/2018,7/28/2018,Taikos pr. 116C,Naujasodis,Iškaba: „Sunkvežimių dalys   “,70-13-763,4.75,
V. Rimkaus autoserviso įmonė „Mobilis“ ,132089613,"Taikos pr. 116C, Kaunas",29-24-557,6/30/2018,7/28/2018,Taikos pr. 116C,Naujasodis,Iškaba: „AdBlue  Sistemų centras“,70-13-764,5.58,
V. Rimkaus autoserviso įmonė „Mobilis“ ,132089613,"Taikos pr. 116C, Kaunas",29-24-558,6/30/2018,6/29/2019,Taikos pr. 116C,Naujasodis,Komercinis stendas (komercinė reklama): „MOBILIS  Vėliavos“,70-13-674,10.8,
V. Rimkaus autoserviso įmonė „Mobilis,132089613,"Taikos pr. 116C, Kaunas",29-24-1494,7/16/2018,7/28/2018,Taikos pr. 116C,Naujasodis,Komercinė nuoroda: „RENAULT  “,70-13-766,7.26,
V. Rimkaus autoserviso įmonė „Mobilis“ ,132089613,"Taikos pr. 116C, Kaunas",29-24-1495,7/16/2018,7/28/2018,Taikos pr. 116C,Naujasodis,Iškaba: „RENAULT  Krovininiai automobiliai “,70-13-765,3.54,
V. Rimkaus autoserviso įmonė „Mobilis“ ,132089613,"Taikos pr. 116C, Kaunas",29-24-1496,7/16/2018,7/28/2018,Taikos pr. 116C,Naujasodis,Iškaba: „Sunkvežimių dalys   “,70-13-763,4.75,
V. Rimkaus autoserviso įmonė „Mobilis“ ,132089613,"Taikos pr. 116C, Kaunas",29-24-1497,7/16/2018,7/28/2018,Taikos pr. 116C,Naujasodis,Iškaba: „AdBlue  Sistemų centras“,70-13-764,5.58,
V. Rimkaus autoserviso įmonė „Mobilis“ ,132089613,"Taikos pr. 116C, Kaunas",29-24-1498,7/16/2018,1/31/2019,Taikos pr. 116C,Naujasodis,Komercinis stendas (komercinė reklama): „MOBILIS  Vėliavos“,70-13-674,10.8,
UAB „Ilgiausi limuzinai“,132091265,"Kaunakiemio g. 40, Kaunas",29-24-2808,10/24/2014,9/28/2019,Kaunakiemio g. 40,Naujamiestis,Iškaba: „Židiniai“,70-13-2557,"1,08",
UAB „Ilgiausi limuzinai“,132091265,"Kaunakiemio g. 40, Kaunas",29-24-2809,10/24/2014,9/28/2019,Kaunakiemio g. 40,Naujamiestis,"Komercinė nuoroda: „Ilgiausi limuzinai  8 687 888 88  Arkesa  Židiniai, pirties krosnelės  Viskas pirtims“",70-13-2558,2.53,
J. Z. Novodzelskio firma „Junova“,132121484,"R. Kalantos g. 82, Kaunas",29-24-1762,11/28/2013,11/1/2018,R. Kalantos g. 82,Petrašiūnai,Iškaba: „Maisto produktų turgelis  Kirpykla  Grožio paslaugos  Tel. 370 608“,70-13-1534,2.86,
J. Z. Novodzelskio firma „Junova“,132121484,"R. Kalantos g. 82, Kaunas",29-24-1895,9/11/2017,9/6/2022,R. Kalantos g. 82,Petrašiūnai,Iškaba: „Kirpykla  “,70-13-1284,0.294,
Lietuvos ir Vokietijos uždaroji akcinė bendrovė „Kauno medicinos centras',132137517,"Šiaurės pr. 8A, Kaunas",29-24-1474,7/15/2015,7/6/2020,Šiaurės pr. 8A,Eiguliai,"Iškaba: „101 Odontologijos kabinetas, 105 Raiškos terapija, 201 Kauno reiki centras, 203,204 KMC administracija, 210 Nėsčiųjų kursai, 213 Reabilitacijos centras, 302 UAB „Auditėja“                    Kauno CM“",70-13-793,4.8,
Uždaroji akcinė bendrovė „Kautra“,132138957,"A. Juozapavičiaus pr. 84, Kaunas",29-24-626,4/4/2018,3/27/2023,Vytauto pr. 24 ,Eiguliai,Iškaba: „Siuntos autobusais  Siuntos drive“,70-13-276,6.12,
Uždaroji akcinė bendrovė „Žibutė“ ,132141024,"Neries kr. 16, Kaunas",29-24-548,4/4/2018,3/18/2019,Varnių g. 48B,Vilijampolė,Iškaba: „Mangostanas  Sporto ir sveikatingumo klubas“,70-13-1041,7.13,
Uždaroji akcinė bendrovė „Žibutė“ ,132141024,"Neries kr. 16, Kaunas",29-24-549,4/4/2018,3/18/2019,Varnių g. 48B,Vilijampolė,Iškaba: „Stalo tenisas  Tel. 8 698 82 636“,70-13-1042,7.13,
Uždaroji akcinė bendrovė „Žibutė“ ,132141024,"Neries kr. 16, Kaunas",29-24-550,4/4/2018,3/18/2019,Varnių g. 48B,Vilijampolė,"Iškaba: „Mobilieji telefonai  Skubus taisymas, pirkimas, pardavimas“",70-13-1043,7.13,
Uždaroji akcinė bendrovė „ARV-Auto“,132141896,"A. Mickevičiaus g. 52-18, Kaunas",29-24-1168,9/17/2013,9/3/2018,Šiaurės pr. 99,Dainava,Iškaba: „Vairavimo kursai  Profesionali vairuotojų mokykla ARV-AUTO  “,70-13-1004,3.1,
Uždaroji akcinė bendrovė „ARV-Auto“,132141896,"A. Mickevičiaus g. 52-18, 44244, Kaunas",29-24-971,4/19/2016,4/12/2021,Vytauto pr. 43,Naujamiestis,Iškaba: „ARV-AUTO  Profesionali vairuotojų mokykla  “,70-13-439,1.5,
Uždaroji akcinė bendrovė „ARV-Auto“,132141896,"A. Mickevičiaus g. 52-18, 44244, Kaunas",29-24-1501,6/27/2017,6/16/2022,Kovo 11-osios g. 57,Dainava,Iškaba: „Vairavimo kursai  Profesionali vairuotojų mokykla ARV-AUTO  Vairavimo mokymo paslaugos  www.arv-auto.lt“,70-13-971,3.09,
Uždaroji akcinė bendrovė „ARV-Auto“,132141896,"A. Mickevičiaus g. 52-18, 44244, Kaunas",29-24-367,3/4/2018,2/22/2020,K. Donelaičio g. 43,Naujamiestis,Iškaba: „ARV-AUTO  Profesionali vairuotojų mokykla  “,70-13-260,2.38,
Uždaroji akcinė bendrovė „ARV-Auto“,132141896,"A. Mickevičiaus g. 52-18, 44244, Kaunas",29-24-432,3/7/2018,12/31/2022,Raudondvario pl. 164A,Veršvai,Iškaba: „ARV-AUTO“,70-13-1683,2.138,
Uždaroji akcinė bendrovė „ARV-Auto“,132141896,"A. Mickevičiaus g. 52-18, Kaunas",29-24-433,3/7/2018,3/15/2023,A. Mickevičiaus g. 52,Naujamiestis,Iškaba: „Profesionali vairuotojų mokykla  Vairavimo kursai  ARV UAB AUTO“,70-13-197,2.98,
Uždaroji akcinė bendrovė „ARV-Auto“,132141896,"A. Mickevičiaus g. 52-18, 44244, Kaunas",29-24-503,3/15/2018,3/8/2023,Baltų pr. 36,Smėliai,Iškaba: „M  Profesionali vairuotojų mokykla ARV uab AUTO  Tel. (8 37) 42 40 00  www.arv-auto.lt“,70-13-220,4.622,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-559,7/23/2016,7/22/2018,Savanorių pr. 284,Dainava,Komercinė nuoroda: „Grožio klinika“,70-13-1824,1.5,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-560,7/23/2016,7/22/2018,Savanorių pr. 284,Dainava,Komercinė nuoroda: „Kavinė  “,70-13-1825,1.5,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-561,7/23/2016,7/22/2018,Savanorių pr. 284,Dainava,Komercinė nuoroda: „Grožio salonas“,70-13-1826,1.5,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17, 49476 , Kaunas",29-24-1653,7/22/2017,6/29/2021,Savanorių pr. 284,Dainava,Iškaba: „Benu vaistinė  Sveikatinė“,70-13-832,3.01,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-399,3/20/2018,2/4/2019,Partizanų g. 17 / Savanorių pr. 284,Dainava,Iškaba: „ORTOPEDIJOS TECHNIKA“,70-13-509,14.69,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-400,3/20/2018,2/4/2019,Partizanų g. 17 / Savanorių pr. 284,Dainava,Komercinė nuoroda: „G4S “,70-13-511,1.15,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-401,3/20/2018,2/4/2019,Partizanų g. 17 / Savanorių pr. 284,Dainava,Komercinė nuoroda: „Grožio chirurgija“,70-13-512,1.15,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-402,3/20/2018,2/4/2019,Partizanų g. 17 / Savanorių pr. 284,Dainava,Komercinė nuoroda: „DIAVERUM“,70-13-513,1.15,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-403,3/20/2018,2/4/2019,Partizanų g. 17 / Savanorių pr. 284,Dainava,Komercinė nuoroda: „Benu“,70-13-514,1.15,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-404,3/20/2018,2/4/2019,Partizanų g. 17 / Savanorių pr. 284,Dainava,Komercinė nuoroda: „TUV UOLEKTIS  “,70-13-515,1.15,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-405,3/20/2018,2/4/2019,Partizanų g. 17 / Savanorių pr. 284,Dainava,Komercinė nuoroda: „Natūralaus gydymo centras“,70-13-516,1.15,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-406,3/20/2018,2/4/2019,Partizanų g. 17 / Savanorių pr. 284,Dainava,Komercinė nuoroda: „Grožio klinika“,70-13-517,1.15,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-407,3/20/2018,2/4/2019,Partizanų g. 17 / Savanorių pr. 284,Dainava,Komercinė nuoroda: „Estetinės chirurgijos centras“,70-13-518,1.15,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-408,3/20/2018,2/4/2019,Partizanų g. 17 / Savanorių pr. 284,Dainava,Iškaba: „G4S “,70-13-520,1.5,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-409,3/20/2018,2/4/2019,Partizanų g. 17 / Savanorių pr. 284,Dainava,Iškaba: „Grožio chirurgija“,70-13-521,1.5,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-410,3/20/2018,2/4/2019,Partizanų g. 17 / Savanorių pr. 284,Dainava,Iškaba: „TUV UOLEKTIS  padalinys Lietuvoje“,70-13-522,1.5,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-411,3/20/2018,2/4/2019,Partizanų g. 17 / Savanorių pr. 284,Dainava,Iškaba: „Estetinės chirurgijos centras“,70-13-523,1.5,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-412,3/20/2018,2/4/2019,Partizanų g. 17 / Savanorių pr. 284,Dainava,Iškaba: „Natūralaus gydymo centras“,70-13-524,1.5,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-413,3/20/2018,2/4/2019,Partizanų g. 17 / Savanorių pr. 284,Dainava,Iškaba: „Benu“,70-13-525,1.5,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-414,3/20/2018,2/4/2019,Partizanų g. 17 / Savanorių pr. 284,Dainava,Iškaba: „Stomatologija“,70-13-526,1.5,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-415,3/20/2018,2/4/2019,Partizanų g. 17 / Savanorių pr. 284,Dainava,Iškaba: „Grožio klinika“,70-13-527,1.5,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-416,3/20/2018,2/4/2019,Partizanų g. 17 / Savanorių pr. 284,Dainava,Iškaba: „Sveikatos arka“,70-13-528,1.5,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-417,3/20/2018,2/4/2019,Partizanų g. 17 / Savanorių pr. 284,Dainava,Komercinė nuoroda: „Konsultacijų centras“,70-13-529,1.5,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-418,7/23/2018,6/16/2019,Savanorių pr. 284,Dainava,Komercinė nuoroda: „Grožio klinika“,70-13-1824,1.5,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-419,7/23/2018,6/16/2019,Savanorių pr. 284,Dainava,Komercinė nuoroda: „Kavinė  “,70-13-1825,1.5,
Akcinė bendrovė „Ortopedijos technika“,132150379,"Partizanų g. 17 , Kaunas",29-24-420,7/23/2018,6/16/2019,Savanorių pr. 284,Dainava,Komercinė nuoroda: „Grožio salonas“,70-13-1826,1.5,
Uždaroji akcinė bendrovė „Livesta“,132182416,"Veiverių g. 151, Kaunas",29-24-1777,6/12/2014,6/11/2019,Veiverių g. 151,Kazliškiai,Iškaba: „Notas  Verslo centras“,70-13-1534,5.32,
UAB „Erta“,132185145,"Miško g. 19, Kaunas",29-24-647,2/21/2014,2/20/2019,Miško g. 19,Naujamiestis,Iškaba: „Erta  Paslaugų aprašymas  Darbo laikas“,70-13-700,0.8,
V. Grockienės įmonė,132186770,"A. Smetonos al. 55-30, Kaunas",29-24-1936,9/20/2017,9/20/2018,Tvirtovės al. 14,Kalniečiai,Iškaba: „Masažas prie klinikų“,70-13-1132,2.25,
UAB „Kvarcas“,132195787,"Neries krantinė 32, Kaunas",29-24-1803,9/27/2015,8/31/2019,Neries krantinė 32,Panerys,Iškaba: „Techninių filtrų centras  Mann filter ir kt.  Darbo laikas  Kvarcas  Filtrai  Šviestuvai namams “,70-13-2400,8.79,
Uždaroji akcinė bendrovė „Kauno autotechnika“,132201382,"Ašigalio g. 6A, Kaunas",29-24-1251,4/23/2014,4/22/2019,Ašigalio g. 6A,Eiguliai,Iškaba: „Autotechnika  Autotechnika  Užsakymų priėmimas“,70-13-1181,8.75,
Uždaroji akcinė bendrovė „Veda“,132201578,"Europos pr. 102, Kaunas",29-24-1001,3/27/2014,3/26/2019,Europos pr. 102,Freda,Iškaba: „Veda  Vandens šildymo katilai  Šildymo prietaisai ir kt.  Darbo laikas“,70-13-1025,2.115,
Uždaroji akcinė bendrovė „Parabolė“,132203771,"Rasytės g. 10A, Kaunas",29-24-525,3/1/2015,2/12/2020,Rasytės g. 10A,Milikoniai,Iškaba: „Parabolė  Kabelinė televizija  “,70-13-246,7.2,
Uždaroji akcinė bendrovė „Parabolė“,132203771,"Rasytės g. 10A, 48123, Kaunas",29-24-670,3/28/2017,3/27/2022,Kuršių g. 34,Milikoniai,Iškaba: „Grožio studija  Guzelė“,70-13-262,0.945,
Uždaroji akcinė bendrovė „Kauno Naujamiesčio darbo rinkos mokymo centras“,132208551,"Maironio g. 11, Kaunas",29-24-192,1/23/2017,1/16/2022,Maironio g. 11,Naujamiestis,Iškaba: „M  Mokymo centras“,70-13-25,0.63,
Uždaroji akcinė bendrovė „Index“,132210584,"Savanorių pr. 219, Kaunas",29-24-2020,9/26/2017,9/14/2022,Savanorių pr. 219,Kalniečiai,"Iškaba: „INDEX  Šaldymo įranga  Barų, restoranų, prekybos įranga  Kondicionavimo, vėdinimo sistemos“",70-13-1292,8.3,
UAB „Dalmanta“,132228810,"Maironio g. 24-18, Kazlų Rūda",29-24-784,5/3/2018,4/18/2022,Partizanų g. 228,Dainava,Iškaba: „Dalmanta  Odontologijos klinika“,70-13-373,2.992,
UAB „Pas Filą“,132246986,"V. Krėvės pr. 8A, 50418, Kaunas",29-24-2570,12/20/2017,7/21/2019,V. Krėvės pr. 8A,Žaliakalnis,Iškaba: „Pas Filą  Veterinarijos klinika  Prekės gyvūnams  “,70-13-2126,5.27,
Uždaroji akcinė bendrovė „Upinis“,132281243,"Sausmedžių skg. 3, Kaunas",29-24-1728,11/25/2013,11/24/2018,Eigulių g. 2,Žaliakalnis,Iškaba: „Upinis“,70-13-1604,3.42,
UAB „MKTO“,132288946,"Vytauto pr. 12, Kaunas",29-24-841,3/17/2014,3/16/2019,Vytauto pr. 12,Naujamiestis,Iškaba: „Čeburekinė“,70-13-888,"1,33",
Mažoji bendrija „Rytų klinika“,132289090,"Rytų g. 9, Kaunas",29-24-1549,10/31/2013,10/30/2018,Rytų g. 9,Gričiupis,Iškaba: „Rytų klinika  Dermatologas  Venerologas  Urologas  Psichiatras  Ginekologas  Darbo laikas“,70-13-1435,0.22,
